dr7objid,dr8objid,distance
587741489819025478,1237667211043930180,4.06730714858309E-06
587741490374443156,1237667211599347857,2.51880288308747E-06
587741490374443156,1237667211599347857,2.51880288308747E-06
587741490913214545,1237667212138119239,1.85900465023885E-05
587741490913214545,1237667212138119239,1.85900465023885E-05
587741491449167909,1237667212674072602,6.62761945606417E-06
587741491449167909,1237667212674072602,6.62761945606417E-06
587741491449167909,1237667212674072602,6.62761945606417E-06
587741532230123792,1237667253455028490,1.80265348945748E-06
587741532768043128,1237667253992947809,4.77411395409342E-06
587741532771582107,1237667253996486837,5.29633795394414E-06
587741532771582107,1237667253996486837,5.29633795394414E-06
587741533303079169,1237667254527983869,4.17524164445448E-06
587741533303079169,1237667254527983869,4.17524164445448E-06
587741600419151994,1237667321644056687,4.71613057994197E-06
587741600953139202,1237667322178043978,3.5783119061348E-06
587741600953139202,1237667322178043978,3.5783119061348E-06
587741602022424682,1237667323247329370,1.59976610594993E-06
587741602023211164,1237667323248115898,6.72907328644162E-06
587741708342919173,1237667429567823877,7.51347499792937E-06
587741708342919173,1237667429567823877,7.51347499792937E-06
587741708342919173,1237667429567823877,7.51347499792937E-06
587741708346327250,1237667429571231976,7.73687194760779E-06
587741709410369710,1237667430635274412,1.92024569725277E-06
587741722282754181,1237667443507659044,5.16645803871637E-06
587741726048976986,1237667447273881681,3.46464625098903E-06
587741726576476383,1237667447801381170,6.20804668136605E-06
587741726578114669,1237667447803019352,1.7867828007625E-06
587741726587486372,1237667447812391048,6.12251774059667E-06
587741727112364293,1237667448337269033,1.07037414803304E-06
587741727112364293,1237667448337269033,1.07037414803304E-06
587741727113674892,1237667448338579574,6.0502655041779E-06
587741727113674892,1237667448338579574,6.0502655041779E-06
587741727653363718,1237667448878268490,6.34926888722864E-06
587741815712186557,1237667536937091240,2.90487959440908E-06
587741816234967394,1237667537459872111,1.69610046617386E-06
587741816783962136,1237667538008866895,1.97886863890172E-06
587741817861701666,1237667539086606365,2.16388771357976E-06
587741829116657901,1237667550341562555,6.3893375919273E-06
587742012733915233,1237667733958819949,4.84460115986579E-06
587742012733915233,1237667733958819949,4.84460115986579E-06
587742012741976204,1237667733966880929,2.35322418363355E-06
587742012741976204,1237667733966880929,2.35322418363355E-06
587742012766355818,1237667733991260554,7.40664065236667E-06
587742013270196366,1237667734495101068,7.11100025030553E-06
587742013270196366,1237667734495101068,7.11100025030553E-06
587742013808312448,1237667735033217153,1.01323103080746E-05
587742013808312448,1237667735033217153,1.01323103080746E-05
587742060523880567,1237667781748785345,1.01812202289847E-05
587742060531941491,1237667781756846180,1.8530209915587E-06
587742060532203658,1237667781757108367,5.45317590320417E-06
587742060552323287,1237667781777227972,3.6594004327474E-06
587742061059637470,1237667782284542203,4.73041744578775E-06
587742061059637470,1237667782284542203,4.73041744578775E-06
587742061073268866,1237667782298173575,3.06536890812225E-06
587742061624295702,1237667782849200362,2.48352017088594E-06
