dr7objid,dr8objid,distance,RA,DEC,petroR50_r,petroR90_r
587732702326030503,1237658423550935223,1.02808657381518E-05,153.28868645,6.22617037,1.266123,3.782246
587732702335795329,1237658423560700035,3.43182782318457E-06,175.79229335,7.3941839,1.721849,4.499527
587732703400034420,1237658424624939090,5.01808861963802E-06,153.88665177,7.07959614,2.181834,6.530961
587732703400427827,1237658424625332527,1.75004804054172E-06,154.84466824,7.1934966,2.345801,5.50947
587732703947128988,1237658425172033708,9.34250117354278E-06,177.47771567,8.57729133,2.446912,5.633811
587732770514337968,1237658491739242727,5.01382758920956E-06,172.59528904,8.99107498,2.65396,5.987079
587732771585720453,1237658492810625148,2.92217282870459E-06,166.95845482,9.71582781,5.876876,10.85647
587733080272076939,1237658801496981693,7.28221861954265E-05,168.9153969,53.61900045,2.535958,6.87552
587733080272076939,1237658801496981693,7.28221861954265E-05,168.9153969,53.61900045,2.535958,6.87552
587733080272076939,1237658801496981693,7.28221861954265E-05,168.9153969,53.61900045,2.535958,6.87552
587733425481187469,1237659146706092168,7.88781237109121E-05,213.60475519,57.63087424,4.924502,9.864177
587733432460181893,1237659153685086628,6.88920618388933E-06,253.51370501,27.50312317,2.723776,6.32166
587733603718398042,1237659324943302766,9.41066027168476E-05,212.62263612,56.44948491,1.894006,3.974466
587733603718398042,1237659324943302766,9.41066027168476E-05,212.62263612,56.44948491,1.894006,3.974466
587734621628465460,1237660342853370159,7.71657240190403E-07,124.29079188,27.12299568,1.663722,4.82803
587734621635477618,1237660342860382313,8.89603389791857E-06,139.47568506,36.51212719,3.738122,7.761736
587734622700896628,1237660343925801307,2.70102562604438E-06,121.06605623,25.86485603,1.021603,3.001446
587734622700896628,1237660343925801307,2.70102562604438E-06,121.06605623,25.86485603,1.021603,3.001446
587734691963076837,1237660413187981523,2.25210203972471E-06,140.54225977,7.80932215,1.312585,3.260017
587734691963076837,1237660413187981523,2.25210203972471E-06,140.54225977,7.80932215,1.312585,3.260017
587734863220179189,1237660584445083886,6.18710633674993E-06,154.11082627,8.88058833,3.35813,8.015372
587734863220179189,1237660584445083886,6.18710633674993E-06,154.11082627,8.88058833,3.35813,8.015372
587734863221620868,1237660584446525583,5.82066348614356E-06,157.36126293,9.09851715,1.503189,4.282876
587734863221620868,1237660584446525583,5.82066348614356E-06,157.36126293,9.09851715,1.503189,4.282876
587734863221620868,1237660584446525583,5.82066348614356E-06,157.36126293,9.09851715,1.503189,4.282876
587734864295428186,1237660585520332885,2.74168199979595E-06,157.42408436,9.96112272,3.157731,7.037643
587734891677352042,1237660612902256782,4.23912830560658E-06,175.26115959,8.98309798,2.749145,5.872253
587734891677352042,1237660612902256782,4.23912830560658E-06,175.26115959,8.98309798,2.749145,5.872253
587734948580294921,1237660669805199614,5.34338091073152E-06,125.94981216,6.11010027,1.805378,4.573078
587734948580294921,1237660669805199614,5.34338091073152E-06,125.94981216,6.11010027,1.805378,4.573078
587734948580294921,1237660669805199614,5.34338091073152E-06,125.94981216,6.11010027,1.805378,4.573078
587734948580294921,1237660669805199614,5.34338091073152E-06,125.94981216,6.11010027,1.805378,4.573078
587735239570751584,1237660960795656425,1.26776801851877E-05,147.64391606,37.53872405,2.183493,6.07997
587735239570751584,1237660960795656425,1.26776801851877E-05,147.64391606,37.53872405,2.183493,6.07997
587735239570751584,1237660960795656425,1.26776801851877E-05,147.64391606,37.53872405,2.183493,6.07997
587735239570751584,1237660960795656425,1.26776801851877E-05,147.64391606,37.53872405,2.183493,6.07997
587735240644034717,1237660961868939413,6.61758069725887E-06,145.99649298,37.6452812,1.553798,4.541324
587735240644034717,1237660961868939413,6.61758069725887E-06,145.99649298,37.6452812,1.553798,4.541324
587735240644034717,1237660961868939413,6.61758069725887E-06,145.99649298,37.6452812,1.553798,4.541324
